Length,Material,Vel_Liv,Vel_Pes,Carriles,Tipo,Nombre,Start,,End,
9.97,Ripio,49,35,,Ruta,RN 293,-72.183042,-51.659990,-72.298803,-51.684662
166.428865,Pavimento,99,70,1,Ruta,RN 40,-72.183042,-51.659990,-70.784646,-51.026987
112.710447,Ripio,49,35,,Ruta,RN 40,-70.904486,-51.935027,-72.183042,-51.659990
112.520621,Pavimento,99,70,1,Ruta,RP 5,-70.784646,-51.026987,-69.639873,-51.623900
62.24556,Pavimento,99,70,1,Ruta,RN 40,-71.368156,-50.619316,-71.852182,-50.308466
68.355488,Pavimento,99,70,1,Ruta,RP 5,-71.368156,-50.619316,-70.784646,-51.026987
128.07205,Pavimento,99,70,1,Ruta,RN 40,-71.852182,-50.308466,-71.473773,-49.600150
20.845914,Ripio,49,35,,Ruta,RN 3,-68.342563,-54.810829,-68.576788,-54.855246
41.189863,Pavimento,99,70,1,Ruta,RN 3,-67.830890,-54.740766,-68.342563,-54.810829
30.091325,Ripio,49,35,,Ruta,RN 24CJ,-67.830890,-54.740766,-67.501759,-54.854062
4.747506,Ripio,49,35,,Ruta,RN 24CK,-67.501759,-54.854062,-67.565762,-54.870743
60.00086,Ripio,49,35,,Ruta,RN 24CJ,-67.501759,-54.854062,-66.742341,-54.967965
104.398915,Pavimento,99,70,1,Ruta,RN 40,-69.583362,-51.633288,-70.904486,-51.935027
23.677258,Pavimento,60,45,1,Avenida,RN 40,-69.583362,-51.633288,-69.247292,-51.621016
4.330299,Pavimento,109,79,1,Ruta,RN 3,-69.639873,-51.623900,-69.583362,-51.633288
12.55291,Pavimento,60,45,,Avenida,RN 3,-69.247292,-51.621016,-69.288225,-51.711726
141.287301,Pavimento,,,,Ferry,RN 3,-69.288225,-51.711726,-68.606578,-52.663154
196.828291,Pavimento,99,70,1,Ruta,RN 3,-68.911947,-50.055786,-69.639873,-51.623900
70.036745,Ripio,49,35,,Ruta,RN 24CB,-67.757967,-53.853181,-68.607515,-54.000094
61.040888,Pavimento,99,70,1,Ruta,RN 3,-67.757967,-53.853181,-67.206048,-54.232350
10.558276,Ripio,49,35,,Ruta,RN 24CI,-68.457147,-53.299320,-68.606052,-53.319923
77.583938,Pavimento,99,70,1,Ruta,RN 3,-68.457147,-53.299320,-67.704230,-53.772772
91.171105,Ripio,49,35,,Ruta,RN 3,-68.606578,-52.663154,-68.457147,-53.299320
13.798287,Pavimento,99,70,1,Ruta,RN 3,-67.704230,-53.772772,-67.757967,-53.853181
100.347491,Pavimento,99,70,1,Ruta,RN 3,-67.206048,-54.232350,-67.830890,-54.740766
80.493109,Ripio,49,35,,Ruta,RN 24CA,-67.206048,-54.232350,-66.443381,-54.488032
25.330498,Pavimento,109,79,,Ruta,RN 40,-69.012823,-51.609292,-69.288225,-51.711726
3.369672,Pavimento,99,70,1,Ruta,RN 40,-71.428837,-49.595396,-71.473773,-49.600150
37.373428,Pavimento,99,70,1,Ruta,RN 40,-71.428837,-49.595396,-71.438369,-49.337669
68.900586,Ripio,49,35,,Ruta,RN 40,-71.438369,-49.337669,-70.995998,-48.895714
35.784149,Ripio,49,35,,Ruta,RN 259,-71.460771,-43.113167,-71.757585,-43.176535
39.406808,Pavimento,99,70,1,Ruta,RN 259,-71.215675,-42.948941,-71.460771,-43.113167
