LENGTH,DATA,RUTA,JURISDIC,ETIQUETA_R,PROVINCIA,MATERIAL,PEAJE,CARRILES,JERARQUIA,TOPOGRAFIA,VEL_LIV,VEL_PES
9.97,"952","293",RN,RN 293,SANTA CRUZ,Ripio,"0",,Ruta,O,"49","35"
112.71,"1786","40",RN,RN 40,SANTA CRUZ,Ripio,"0",,Ruta,O,"49","35"
166.43,"1017","40",RN,RN 40,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
62.25,"494","40",RN,RN 40,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
20.85,"954","3",RN,RN 3,TIERRA DEL FUEGO,Ripio,"0",,Ruta,O,"49","35"
41.19,"1023","3",RN,RN 3,TIERRA DEL FUEGO,Pavimento,"0","1",Ruta,O,"99","70"
30.09,"955",24CJ,RN,RN 24CJ,TIERRA DEL FUEGO,Ripio,"0",,Ruta,O,"49","35"
4.75,"956",24CK,RN,RN 24CK,TIERRA DEL FUEGO,Ripio,"0",,Ruta,O,"49","35"
60.00,"1024",24CJ,RN,RN 24CJ,TIERRA DEL FUEGO,Ripio,"0",,Ruta,O,"49","35"
68.36,"544","5",RP,RP 5,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
104.40,"951","40",RN,RN 40,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
4.33,"337","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
12.55,"338","3",RN,RN 3,SANTA CRUZ,Pavimento,"0",,Avenida,L,"60","45"
23.68,"1018","40",RN,RN 40,SANTA CRUZ,Pavimento,"0","1",Avenida,L,"60","45"
112.52,"1016","5",RP,RP 5,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
196.83,"1015","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
70.04,"953",24CB,RN,RN 24CB,TIERRA DEL FUEGO,Ripio,"0",,Ruta,O,"49","35"
